anno,provincia,comune,giorno,organo_di_rilevazione,localizzazione_incidente,denominazione_della_strada,tronco_di_strada_o_autostrada,tipo_di_strada,pavimentazione,intersezione_o_non_interse3,fondo_stradale,segnaletica,condizioni_meteorologiche,natura_incidente,tipo_veicolo_a,tipo_veicoli__b_,tipo_veicolo__c_,veicolo__a____circostanze_10,veicolo__a____circostanze_11,veicolo__b____circostanze_13,veicolo__b____circostanze_14,veicolo__a___anno_immatric18,immatricolazione_veicolo__b_,immatricolazione_veicolo__c_,veicolo__a___et__conducente,veicolo__a___sesso_conducente,veicolo__a___esito_conducente,veicolo__a___patente_condu29,veicolo__a___anno_rilascio30,veicolo__a___passeggeri_an35,veicolo__a___et__passegger36,veicolo__a___sesso_passegg37,veicolo__a___esito_passegg38,veicolo__a___et__passegger39,veicolo__a___sesso_passegg40,veicolo__a___esito_passegg41,veicolo__a___et__passegger42,veicolo__a___sesso_passegg43,veicolo__a___esito_passegg44,veicolo__a___et__passegger45,veicolo__a___sesso_passegg46,veicolo__a___altri_passegg47,veicolo__a___altri_passegg48,veicolo__a___altri_passegg49,veicolo__a___altri_passegg50,veicolo__b___et__conducente,veicolo__b___sesso_conducente,veicolo__b___esito_conducente,veicolo__b___patente_condu51,veicolo__b___anno_rilascio52,veicolo__b___passeggeri_an57,veicolo__b___et__passegger58,veicolo__b___sesso_passegg59,veicolo__b___esito_passegg60,veicolo__b___et__passegger61,veicolo__b___sesso_passegg62,veicolo__b___esito_passegg63,veicolo__b___et__passegger64,veicolo__b___sesso_passegg65,veicolo__b___esito_passegg66,veicolo__b___et__passegger67,veicolo__b___sesso_passegg68,veicolo__b___altri_passegg69,veicolo__b___altri_passegg70,veicolo__b___altri_passegg71,veicolo__b___altri_passegg72,veicolo__c___et__conducente,veicolo__c___sesso_conducente,veicolo__c___esito_conducente,veicolo__c___patente_condu73,veicolo__c___anno_rilascio74,veicolo__c___passeggeri_an79,veicolo__c___et__passegger80,veicolo__c___sesso_passegg81,veicolo__c___esito_passegg82,veicolo__c___et__passegger83,veicolo__c___sesso_passegg84,veicolo__c___esito_passegg85,veicolo__c___et__passegger86,veicolo__c___sesso_passegg87,veicolo__c___esito_passegg88,veicolo__c___et__passegger89,veicolo__c___sesso_passegg90,veicolo__c___altri_passegg91,veicolo__c___altri_passegg92,veicolo__c___altri_passegg93,veicolo__c___altri_passegg94,pedone_morto_1__sesso,pedone_morto_1__et_,pedone_ferito_1__sesso,pedone_ferito_1__et_,pedone_morto_2__sesso,pedone_morto_2__et_,pedone_ferito_2__sesso,pedone_ferito_2__et_,pedone_morto_3__sesso,pedone_morto_3__et_,pedone_ferito_3__sesso,pedone_ferito_3__et_,pedone_morto_4__sesso,pedone_morto_4__et_,pedone_ferito_4__sesso,pedone_ferito_4__et_,altri_veicoli_coinvolti,morti_maschi_coinvolti_su_95,morti_femmine_coinvolti_su96,feriti_maschi_coinvolti_su97,feriti_femmine_coinvolti_s98,morti_entro_24_ore,morti_entro_30_giorni,feriti,descrizione_strada,Ora,chilometri,ettometrica,trimestre,PRO_COM,COMUNE,PROVINCIA,giorno_num,morti,STRADA
18,15,86,Sabato,1,7,A04,  ,3,1,Rettilineo,1,Temporanea di cantiere,Sereno,Tamponamento,Autovettura privata,Autovettura privata,Autovettura privata,20,  ,23,  ,           ,2016       ,2016       ,30-44,1,1,2,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,2,2,2,"(2008,2013]",2,18-29,3,2,30-44,4, ,     , , ,     , ,0,0,0,0,45-54,1,1,2,"(2013,2018]",2,45-54,4, ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,1,0,0,0,0,0,0,4,                                                         ,20,129,300,1,15086,Cormano,Milano,6,0,A04
18,15,209,Lunedi,1,7,A04,  ,3,1,Rettilineo,2,Verticale e orizzontale,Pioggia,Scontro laterale,Autovettura privata,Autocarro,null,21,  ,21,  ,           ,           ,           ,30-44,2,2,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,1,3,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,10,136,546,1,15209,Sesto San Giovanni,Milano,1,0,A04
18,15,146,Lunedi,1,7,A04,  ,1,1,Curva,2,Verticale e orizzontale,Pioggia,"Fuoriuscita, sbandamento",Motociclo a solo,null,null,72,  ,75,  ,           ,           ,           ,45-54,1,2,3,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,12,126,000,1,15146,Milano,Milano,1,0,A04
18,17,46,Giovedi,1,7,A04,  ,3,1,Rettilineo,1,Verticale e orizzontale,Sereno,"Fuoriuscita, sbandamento",Autovettura privata,null,null,72,  ,75,  ,           ,           ,           ,30-44,2,2,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,21,204,465,1,17046,Cazzago San Martino,Brescia,4,0,A04
18,16,84,Domenica,1,7,A04,  ,3,1,Rettilineo,1,Verticale e orizzontale,Sereno,Tamponamento,Autovettura privata,Autovettura privata,null,20,  ,22,  ,2016       ,           ,           ,18-29,1,2,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,1, ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,20,182,200,1,16084,Costa di Mezzate,Bergamo,7,0,A04
18,16,117,Mercoledi,1,7,A04,  ,3,1,Curva,1,Orizzontale,Sereno,Scontro laterale,Autovettura privata,Autovettura privata,Autovettura privata,23,  ,20,  ,2012       ,2016       ,2018       ,65+  ,1,1,2,"(2013,2018]",2,30-44,4, ,     , , ,     , , ,     , ,0,0,0,0,55-64,1,1,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,55-64,1,1,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,17,176,700,1,16117,Grassobbio,Bergamo,3,0,A04
18,17,69,Mercoledi,1,7,A04,  ,3,1,Rettilineo,1,Verticale e orizzontale,Sereno,Urto con veicolo in fermata o in arresto,Autovettura privata,Autovettura privata,null,64,  ,61,  ,2016       ,2015       ,           ,55-64,1,2,2,"(2008,2013]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,1,2,"(2003,2008]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,20,198,300,1,17069,Erbusco,Brescia,3,0,A04
18,16,152,Giovedi,1,7,A04,  ,3,1,Rettilineo,2,Verticale e orizzontale,Pioggia,"Fuoriuscita, sbandamento",Autovettura privata,null,null,72,  ,75,  ,           ,           ,           ,18-29,1,2,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,15,165,220,1,16152,Osio Sopra,Bergamo,4,0,A04
18,16,153,Venerdi,1,7,A04,  ,3,1,Rettilineo,2,Verticale e orizzontale,Altro,Tamponamento,Autovettura privata,Autovettura privata,null,  ,81,  ,  ,           ,2018       ,           ,30-44,1,2,2,"(2013,2018]",2,18-29,4, ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,1,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,                                                         ,24,163,388,1,16153,Osio Sotto,Bergamo,5,0,A04
18,16,153,Sabato,1,7,A04,  ,3,1,Rettilineo,2,Verticale e orizzontale,Altro,Tamponamento,Autovettura privata,Autovettura privata,Autovettura privata,23,  ,20,  ,2011       ,2016       ,           ,45-54,1,2,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,2,1,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,1,2,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,5,0,0,1,2,0,0,4,                                                         ,2,163,858,1,16153,Osio Sotto,Bergamo,6,0,A04
18,15,157,Domenica,1,7,A04,  ,3,1,Rettilineo,1,Verticale e orizzontale,Altro,Urto con veicolo in fermata o in arresto,Autovettura privata,Autovettura privata,Autovettura privata,64,  ,62,  ,           ,           ,           ,55-64,1,1,3,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,1,2,"(2013,2018]",2,18-29,4, ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,1,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,1,129,000,1,15157,Novate Milanese,Milano,7,0,A04
18,108,52,Mercoledi,1,7,A04,  ,3,1,Rettilineo,1,Orizzontale,Altro,Scontro laterale,Autobus di linea o non di linea in extraurbana,Trattore stradale o motrice,null,20,  ,21,  ,           ,           ,           ,30-44,1,2,4,"(2013,2018]",2,45-54,4,2,n.i. ,3, ,     , , ,     , ,0,0,0,0,55-64,1,1,4,"(2008,2013]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,3,                                                         ,17,148,118,1,108052,Caponago,Monza e della Brianza,3,0,A04
18,17,69,Lunedi,1,7,A04,  ,3,1,Rettilineo,1,Orizzontale,Altro,"Fuoriuscita, sbandamento",Autovettura privata,null,null,72,  ,75,  ,           ,           ,           ,55-64,1,2,2,"(1978,1983]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,                                                         ,12,197,250,1,17069,Erbusco,Brescia,1,0,A04
18,17,46,Lunedi,1,7,A04,  ,3,1,Rettilineo,1,Orizzontale,Sereno,Tamponamento,Autovettura privata,Autocarro,null,20,  ,22,  ,2014       ,2015       ,           ,18-29,2,2,2,"(2003,2008]",2,18-29,4, ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,1,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,                                                         ,18,201,900,1,17046,Cazzago San Martino,Brescia,1,0,A04
18,15,14,Lunedi,1,7,A04,  ,3,1,Rettilineo,1,Orizzontale,Sereno,Tamponamento,Autovettura privata,Autovettura privata,Autovettura privata,20,  ,22,  ,2011       ,           ,2009       ,55-64,1,1,2,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,1,2,"(2008,2013]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,55-64,1,1,2,"(1984,1988]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,2,45-54, ,     , ,     , ,     , ,     , ,     , ,     , ,     ,1,0,0,0,0,1,0,0,                                                         ,24,154,257,1,15014,Basiano,Milano,1,1,A04
18,17,40,Lunedi,1,7,A04,  ,3,1,Rettilineo,1,Orizzontale,Sereno,Tamponamento,Autovettura privata,Autovettura privata,Autocarro,23,  ,20,  ,2015       ,2009       ,2015       ,45-54,1,1,2,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,3,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,2,2,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,1,0,0,0,0,1,0,1,                                                         ,20,211,420,1,17040,Castegnato,Brescia,1,1,A04
18,16,18,Mercoledi,1,7,A04,  ,3,1,Curva,1,Orizzontale,Sereno,Tamponamento,Autovettura privata,Autocarro,Autovettura privata,22,  ,20,  ,2016       ,           ,2018       ,30-44,1,1,2,"(2008,2013]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,1,2,"(2013,2018]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,1,2,"(2013,2018]",2,30-44,3,2,30-44,3,2,45-54,3, ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,6,0,0,2,0,0,0,5,                                                         ,9,179,150,1,16018,Bagnatica,Bergamo,3,0,A04
